Day,Time,Activity,Location,Duration,Cost per Person (₱),Cost for 2 (₱),Notes,Link,Destination,Latitude,Longitude
Mon 23 Mar,11:00-12:00,Check-in at Elyu accommodation,"San Juan, La Union",1 hr,0,0,Park and settle; choose beachfront if possible to minimize walking.,,La Union,16.6584,120.3214
Mon 23 Mar,12:00-13:00,Lunch at Tagpuan sa San Juan,Tagpuan sa San Juan,1 hr,150,300,Budget-friendly rice bowls; good post-drive meal.,https://thegame-onemega.com/lifestyle/3-reasons-why-tagpuan-should-be-every-la-union-surfers-go-to-restaurant/,La Union,16.6586,120.3220
Mon 23 Mar,13:00-16:30,Beach chill and optional first surf board rental,Urbiztondo Beach,3.5 hrs,200,400,Allocate ~₱200 per person if you rent a board for an hour; otherwise free beach time.,https://www.surf-forecast.com/breaks/Urbiztondo-Beach,La Union,16.6584642,120.321446
Mon 23 Mar,16:30-18:00,Sunset coffee at El Union / Clean Beach,Urbiztondo café strip,1.5 hrs,250,500,Coffee + snack budget; pick El Union or Clean Beach depending on vibe.,https://www.pepper.ph/el-union-coffee-la-union/,La Union,16.6584642,120.321446
Mon 23 Mar,18:30-20:30,Dinner at Kabsat or similar beachfront resto,Kabsat La Union,2 hrs,400,800,Order shared mains and drinks; busy during sunset and evenings.,https://kbhmedina.wordpress.com/2022/08/08/la-union-food-crawl/,La Union,16.6587,120.3225
Tue 24 Mar,07:30-08:00,Quick breakfast,Elyu area,30 mins,150,300,Eat light but filling meal before hike (silog / rice bowl).,,La Union,16.6584,120.3214
Tue 24 Mar,08:00-09:00,Drive to San Gabriel municipal hall (Tangadan registration),San Juan to San Gabriel,1 hr,0,0,"Park near municipal hall, register and hire guide.",https://www.tripadvisor.ca/Attraction_Review-g9798037-d9792156-Reviews-Tangadan_Falls.html,La Union,16.6780,120.4000
Tue 24 Mar,09:00-12:00,Guided hike and swimming at Tangadan Falls,Tangadan Falls,3 hrs,450,900,Budget: ₱50 pass + ~₱700 guide + ₱100 parking split by 2 ≈ ₱450 per person.,https://www.tripadvisor.ca/Attraction_Review-g9798037-d9792156-Reviews-Tangadan_Falls.html,La Union,16.6690,120.4123
Tue 24 Mar,12:00-13:00,Late lunch in San Gabriel or back in San Juan,San Gabriel / San Juan,1 hr,300,600,Post-hike meal; simple carinderia or San Juan café.,,La Union,16.6586,120.3220
Tue 24 Mar,13:00-15:00,Rest at accommodation,Elyu lodging,2 hrs,0,0,Shower and rest after falls and drive.,,La Union,16.6584,120.3214
Tue 24 Mar,15:00-17:30,Beach time or light surf,Urbiztondo Beach,2.5 hrs,200,400,Optional board rental again (~₱200/hr); or just relax on the sand.,https://www.surf-forecast.com/breaks/Urbiztondo-Beach,La Union,16.6584642,120.321446
Tue 24 Mar,17:30-19:00,Sunset drinks / coffee at beach cafés,Urbiztondo café strip,1.5 hrs,250,500,Budget for coffee or a drink plus shared snacks.,https://www.gmanetwork.com/entertainment/showbiznews/coffee-havens-in-elyu/52509/,La Union,16.6584642,120.321446
Tue 24 Mar,19:00-22:00,"Dinner and nightlife (Flotsam, Kabsat, etc.)",Urbiztondo bars and restos,3 hrs,600,1200,Allocate higher budget for food + a couple of drinks.,https://raescape.com/2019/05/san-juan-la-union-your-quick-getaway.html,La Union,16.6589,120.3313
Wed 25 Mar,07:30-08:30,Smoothie bowl breakfast at Makai Bowls,"Makai Bowls, Great Northwest",1 hr,220,440,Healthy smoothie bowl breakfast with beach view.,https://wanderlog.com/place/details/2265469/makai-bowls,La Union,16.6584642,120.321446
Wed 25 Mar,08:30-10:00,Surf lesson with instructor,Urbiztondo Beach surf schools,1.5 hrs,500,1000,Estimate ₱400–600/hr including board and instructor; use ₱500 per person.,https://www.youtube.com/watch?v=afcSL6Yjn2Q,La Union,16.6584642,120.321446
Wed 25 Mar,10:00-11:30,"Shower, pack, and check-out",Elyu accommodation,1.5 hrs,0,0,Final packing and check-out around late morning.,,La Union,16.6584,120.3214
Wed 25 Mar,11:30-12:30,Early lunch in San Juan (Tagpuan / Clean Beach),"San Juan, La Union",1 hr,250,500,Light lunch before long drive; pick preferred spot.,,La Union,16.6589,120.3313
Wed 25 Mar,12:30-13:00,"Quick pasalubong stop (coffee, shirts, snacks)",Urbiztondo shops,30 mins,200,400,Allocate small budget for Elyu souvenirs.,,La Union,16.6589,120.3313
Wed 25 Mar,13:00-19:00,Drive back to San Pedro,San Juan to San Pedro via TPLEX/NLEX,~6 hrs,0,0,Allow rest and fuel stops; arrival time depends on traffic.,,La Union,,
